Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-2360.812	-2431.607	70.79469	0.123413	0.0505458	0.0169919	0.0736699	0.10665	0.179027	0.0280342	0.0266275	0.0564478	0.0489992	0.0793601	0.152372	0.0396526	0.030031	0.0116172	0.0334187	0.0117556	0.0985577	0.0430669	0.0266708	0.0462105	0.0183627	0.0126048	0.0195537	0.00881156	0.0202335	0.0104642	0.0301529	0.249888	0.02117	0.0140559	0.0819605	0.0117343	0.0126211	0.282612	0.00332742	0.021944	0.0280836	0.0424904	0.00159246	0.00285573	0.000333607	0.0376481	0.0054673	0.0206549	0.0308419	0.0517849	0.0414406	0.0114063	0.0953497	0.0238691	0.357814	1.37461	0.0986721	0.323196	0.703011	1.42245	3.0941	10.1346	1.674594	0.151843	0.0494359	0.0202472	0.00680647	0.02951	0.0427207	0.0717132	0.0112297	0.0106662	0.0226114	0.0196277	0.0317894	0.0610358	0.0158837	0.0120296	0.00465353	0.0133866	0.00470895	0.0394794	0.0172514	0.0106835	0.0185106	0.00735555	0.00504911	0.00783265	0.00352966	0.00810495	0.00419165	0.0120784	0.100098	0.00848011	0.00563038	0.032831	0.00470042	0.00505563	0.113206	0.00133287	0.00879014	0.0112495	0.0170204	0.000637892	0.00114392	0.000133634	0.0150807	0.00219004	0.00827374	0.0123544	0.0207435	0.0165999	0.00456903	0.0381944	0.00956127	0.589652	0.410348	0.5896525	2.496435
36	-2360.466	-2431.315	70.849	0.177536	0.0581041	0.0285109	0.0847637	0.0924779	0.078951	0.0648229	0.0350012	0.0507288	0.055262	0.0710688	0.0622496	0.02631	0.0348637	0.00800937	0.0330187	0.0175331	0.0924205	0.0228078	0.0488939	0.0309555	0.0228691	0.0156206	0.0368518	0.0155147	0.00632528	0.0058137	0.0601136	0.222799	0.0419986	0.019458	0.0724252	0.00607929	0.025312	0.197324	0.0017368	0.0246057	0.0632286	0.0261801	0.0106961	0.00684858	0.00224614	0.0231123	0.0548093	0.0532466	0.0199878	0.0190368	0.0270732	0.0225607	0.0979595	0.0466608	0.614131	1.22509	0.157292	0.405725	0.754702	1.32503	2.46472	6.35761	1.337426	0.2924215	0.0732775	0.0239824	0.0117678	0.0349861	0.0381701	0.0325869	0.0267555	0.0144467	0.0209382	0.0228093	0.0293335	0.0256934	0.0108594	0.0143899	0.00330585	0.0136284	0.00723678	0.0381464	0.00941386	0.0201809	0.0127769	0.00943918	0.00644736	0.0152105	0.00640367	0.00261075	0.00239959	0.0248118	0.0919601	0.0173349	0.00803124	0.0298934	0.00250922	0.0104475	0.0814452	0.00071686	0.0101559	0.0260975	0.0108058	0.00441478	0.00282674	0.000927093	0.00953958	0.0226224	0.0219775	0.00824995	0.00785741	0.0111744	0.0093119	0.0404326	0.0192592	0.430683	0.569317	0.4306827	2.422783
72	-2356.358	-2427.591	71.23324	0.143497	0.0791852	0.0541682	0.065537	0.0512798	0.133358	0.0561603	0.0314585	0.0897792	0.0184314	0.0777719	0.14094	0.0263196	0.0326055	0.00920912	0.018628	0.0115762	0.0602875	0.0458521	0.0504516	0.027286	0.0308604	0.00960202	0.013776	0.0229085	0.0158128	0.00581852	0.00570063	0.262357	0.0550571	0.0304653	0.0296635	0.0234789	0.025429	0.212358	0.00229038	0.0205153	0.00201021	0.0284547	0.00845199	0.00156176	0.00324226	0.0172981	0.016832	0.0507947	0.0244684	0.0349145	0.0909798	0.0205234	0.0431982	0.0179366	0.493392	1.29552	0.177928	0.430866	0.768991	1.3004	2.32091	5.62026	1.24829	0.2221594	0.0610484	0.0336881	0.023045	0.0278817	0.0218161	0.0567348	0.0238925	0.0133835	0.0381951	0.00784134	0.0330868	0.0599608	0.0111972	0.0138715	0.00391787	0.00792497	0.00492489	0.0256483	0.019507	0.0214638	0.0116084	0.013129	0.00408502	0.00586079	0.00974606	0.00672731	0.00247539	0.00242524	0.111616	0.0234231	0.012961	0.0126199	0.00998873	0.0108183	0.0903445	0.000974403	0.00872788	0.000855211	0.0121056	0.00359576	0.000664425	0.00137937	0.0073592	0.00716088	0.0216098	0.0104097	0.0148538	0.0387059	0.00873136	0.018378	0.00763083	0.546666	0.453334	0.5466658	2.350543
108	-2358.461	-2429.326	70.86418	0.115828	0.117056	0.0354898	0.0439212	0.0680269	0.116023	0.0372719	0.0359419	0.0682585	0.0391389	0.0800219	0.113052	0.0182251	0.0242638	0.0106755	0.024703	0.0244767	0.0880467	0.0492747	0.032916	0.0371768	0.00581058	0.0163087	0.00210186	0.0326314	0.00295525	0.00626246	0.105155	0.00275359	0.0215606	0.0233972	0.0038793	0.0141573	0.00454874	0.000373579	0.087144	0.00604612	0.107357	0.217297	0.195769	0.0657471	0.0115325	0.0379027	0.0332187	0.0332918	0.00345683	0.0215224	0.0232959	0.0114699	0.0154336	0.012918	0.717615	1.16472	0.152527	0.399683	0.751177	1.33124	2.50198	6.55624	1.359671	0.3594056	0.0502489	0.0507814	0.0153963	0.019054	0.0295117	0.0503336	0.0161694	0.0155924	0.0296121	0.0169794	0.0347154	0.0490444	0.00790649	0.0105262	0.00463127	0.0107167	0.0106186	0.0381967	0.0213765	0.0142797	0.0161282	0.00252077	0.0070751	0.000911836	0.0141563	0.00128206	0.0027168	0.0456187	0.00119457	0.00935347	0.0101502	0.00168293	0.00614178	0.00197335	0.000162067	0.0378051	0.00262295	0.0465741	0.0942686	0.084929	0.0285226	0.00500308	0.0164431	0.014411	0.0144428	0.00149965	0.0093369	0.0101063	0.00497591	0.00669544	0.00560412	0.574768	0.425232	0.5747684	2.305086
144	-2362.901	-2434.001	71.10022	0.129116	0.128151	0.0470916	0.0585592	0.0543368	0.122902	0.0521054	0.0174302	0.0789471	0.0497058	0.0412969	0.089028	0.0173365	0.0311375	0.00335079	0.0266996	0.00963298	0.0634668	0.0433436	0.0448302	0.0146873	0.0222404	0.0118459	0.000705432	0.0346243	0.00143695	0.00843001	0.131281	0.00632915	0.0368601	0.0267884	0.00414428	0.00412401	0.0242947	0.000478161	0.052971	0.0262482	0.0611023	0.232619	0.242841	0.0632221	0.0136241	0.029301	0.0349553	0.0226467	0.00336138	0.0249915	0.035105	0.009087	0.0476759	0.0129201	0.490559	1.29717	0.146772	0.392257	0.746795	1.33906	2.54935	6.81327	1.387476	0.220602	0.0549567	0.0545461	0.020044	0.0249251	0.0231279	0.0523118	0.0221781	0.00741899	0.0336029	0.0211567	0.0175776	0.0378938	0.0073791	0.0132533	0.00142623	0.0113644	0.00410017	0.0270139	0.0184487	0.0190815	0.00625149	0.00946636	0.00504207	0.000300259	0.0147375	0.000611624	0.00358814	0.0558782	0.00269393	0.0156891	0.0114022	0.00176397	0.00175534	0.0103408	0.000203524	0.0225465	0.0111723	0.0260075	0.0990118	0.103363	0.0269098	0.00579895	0.0124716	0.0148783	0.0096393	0.00143073	0.0106373	0.0149421	0.00386778	0.0202927	0.0054993	0.481382	0.518618	0.4813815	2.349409
180	-2352.335	-2423.493	71.15786	0.126049	0.177775	0.0260217	0.0490652	0.0348992	0.16999	0.0471112	0.0186683	0.0767557	0.0150661	0.103423	0.0903228	0.0265022	0.0283987	0.00399937	0.032543	0.0155184	0.0470549	0.0153445	0.0353256	0.0250563	0.0216242	0.0137858	0.00303318	0.0299247	0.00216045	0.00685146	0.0517729	0.000253267	0.00196659	0.0625842	0.0122659	0.0114922	0.0647154	0.00130152	0.0248282	0.0149295	0.0556566	0.229958	0.239587	0.0378103	0.00344071	0.0300443	0.0128375	0.0411822	0.00857288	0.0179021	0.0409005	0.00857315	0.035674	0.0635132	0.50565	1.28837	0.152003	0.399013	0.750784	1.33194	2.50618	6.57883	1.362158	0.228942	0.0544716	0.0768248	0.0112452	0.0212034	0.0150815	0.0734605	0.0203589	0.00806743	0.0331697	0.00651074	0.0446937	0.0390326	0.0114528	0.0122724	0.00172831	0.0140633	0.0067062	0.0203346	0.00663109	0.0152658	0.010828	0.00934482	0.00595748	0.00131078	0.0129318	0.000933629	0.00296083	0.0223734	0.000109448	0.000849854	0.0270455	0.00530067	0.00496632	0.0279665	0.000562446	0.0107294	0.00645172	0.0240518	0.0993754	0.103537	0.0163396	0.00148689	0.0129835	0.00554767	0.0177967	0.00370474	0.00773634	0.017675	0.00370485	0.0154164	0.027447	0.603184	0.396816	0.6031842	2.314032
216	-2368.915	-2440.336	71.42176	0.113546	0.0677169	0.030125	0.0246608	0.0997288	0.0733146	0.036581	0.0277182	0.0286365	0.0545454	0.0557311	0.112208	0.0346813	0.0205777	0.0120272	0.0240339	0.021641	0.0726838	0.0464329	0.0143633	0.0202957	0.00828026	0.0298405	0.034427	0.0137285	0.00683335	0.00870799	0.0470521	0.00220821	0.0332043	0.0532779	0.012901	0.0121147	0.0351729	0.00408938	0.0316851	0.0138776	0.0402611	0.169908	0.223507	0.0401471	0.0144743	0.0190028	0.0174152	0.0182962	0.0227266	0.00792888	0.0283708	0.00761478	0.0202883	0.0342125	0.591983	1.23801	0.135234	0.376902	0.737549	1.35584	2.65321	7.39461	1.446681	0.2789344	0.0566933	0.0338111	0.0150414	0.0123131	0.0497946	0.036606	0.0182649	0.0138397	0.0142982	0.0272345	0.0278266	0.0560256	0.0173164	0.0102745	0.00600516	0.0120001	0.0108053	0.036291	0.023184	0.00717161	0.0101336	0.00413434	0.0148994	0.0171894	0.00685466	0.00341189	0.0043479	0.0234931	0.00110256	0.0165789	0.0266017	0.00644145	0.00604889	0.0175618	0.00204183	0.0158204	0.00692909	0.0201024	0.0848353	0.111597	0.0200454	0.007227	0.00948809	0.00869539	0.0091353	0.0113474	0.00395889	0.0141655	0.00380206	0.01013	0.0170823	0.518718	0.481282	0.5187177	2.002804
252	-2370.876	-2439.982	69.10558	0.158616	0.080723	0.0233107	0.0749872	0.168117	0.121881	0.125719	0.017269	0.0782489	0.0653568	0.172561	0.276949	0.026581	0.0282677	0.0235556	0.0325679	0.0127421	0.150212	0.0590451	0.020622	0.0235015	0.00675399	0.00453882	0.0707296	0.049132	0.0158478	0.00632119	0.0643461	0.000245859	0.0849943	0.0771514	0.0206858	0.028777	0.0636424	0.0189353	0.00969972	0.0291719	0.0313833	0.217903	0.461909	0.0427979	0.0076765	0.0282011	0.0388039	0.0320068	0.023341	0.0627628	0.0361278	0.0027638	0.0318931	0.0325109	0.744965	1.14877	0.14878	0.394864	0.74834	1.33629	2.53252	6.72134	1.377654	0.3782853	0.0474629	0.0241549	0.00697531	0.0224386	0.0503061	0.0364706	0.0376191	0.00516743	0.0234146	0.0195569	0.0516358	0.0828719	0.00795389	0.0084586	0.00704859	0.00974537	0.00381284	0.0449482	0.0176682	0.00617076	0.00703241	0.00202101	0.00135816	0.0211646	0.0147019	0.00474218	0.0018915	0.0192544	7.3569e-05	0.025433	0.0230862	0.00618985	0.00861101	0.0190438	0.00566605	0.00290247	0.00872918	0.00939089	0.0652037	0.138218	0.0128065	0.00229706	0.00843868	0.0116114	0.00957748	0.00698438	0.0187807	0.0108106	0.000827018	0.00954345	0.00972831	0.538824	0.461176	0.5388235	3.341887
288	-2361.937	-2433.772	71.83552	0.0688143	0.0421449	0.0508584	0.0504669	0.0464715	0.0873952	0.0372943	0.0229778	0.0634003	0.0379915	0.0270661	0.109268	0.0324174	0.0129662	0.00798214	0.00990939	0.0155517	0.063363	0.0502209	0.0278348	0.00608734	0.0147297	0.0102367	0.0580703	0.0145674	0.00158942	0.00919553	0.0148257	0.000702983	0.0345492	0.0757952	0.00285189	0.00906163	0.0355629	0.0134041	0.0137438	0.0189189	0.0202901	0.136427	0.186363	0.0196757	0.00500074	0.00687571	0.0103544	0.0174251	0.00515417	0.021796	0.0137064	0.00350802	0.0189051	0.00767812	0.581545	1.2441	0.120488	0.356266	0.724706	1.37987	2.80689	8.29958	1.530162	0.2726749	0.0411705	0.0252146	0.0304278	0.0301936	0.0278032	0.0522872	0.0223126	0.0137473	0.0379314	0.0227297	0.0161932	0.0653731	0.0193948	0.00775744	0.00477559	0.00592863	0.00930435	0.0379091	0.0300464	0.0166531	0.00364196	0.00881254	0.00612445	0.0347425	0.00871546	0.000950923	0.00550154	0.00886996	0.000420584	0.0206703	0.0453471	0.00170624	0.00542143	0.0212767	0.00801945	0.00822271	0.0113189	0.0121392	0.0816222	0.111498	0.0117716	0.00299186	0.00411363	0.00619485	0.0104252	0.00308366	0.0130402	0.0082003	0.00209879	0.0113106	0.0045937	0.594206	0.405794	0.5942061	1.671446
324	-2362.314	-2433.288	70.97396	0.103429	0.108014	0.0352761	0.031376	0.0834051	0.133608	0.0569283	0.0198723	0.118595	0.0557321	0.0502851	0.148908	0.00603332	0.0192169	0.00703582	0.0275557	0.0218887	0.033142	0.0443834	0.0465012	0.0216366	0.0126098	0.0320825	0.0390613	0.0282989	0.0234878	0.00722123	0.271389	0.0335266	0.0074192	0.0260362	0.155122	0.0181324	0.00712931	0.0071225	0.0278909	0.0883123	0.0540388	0.0254758	0.0768411	0.0225215	0.0394124	0.0271866	0.00928007	0.0300142	0.00935683	0.0297485	0.0460296	0.0316082	0.00511846	0.0560706	0.413839	1.34193	0.12164	0.357923	0.725756	1.37787	2.7939	8.22098	1.523281	0.1798949	0.0427327	0.0446271	0.0145747	0.0129633	0.0344597	0.0552017	0.0235205	0.00821043	0.0489988	0.0230263	0.0207758	0.0615229	0.00249273	0.00793965	0.00290692	0.0113849	0.00904354	0.013693	0.0183375	0.0192125	0.0089394	0.00520987	0.0132552	0.0161386	0.011692	0.00970423	0.00298353	0.112127	0.0138519	0.00306532	0.0107571	0.0640902	0.0074916	0.00294555	0.00294274	0.0115234	0.0364872	0.0223267	0.0105256	0.0317477	0.00930501	0.0162836	0.0112324	0.00383416	0.0124007	0.00386587	0.0122909	0.0190176	0.0130592	0.00211474	0.0231662	0.734304	0.265696	0.734304	2.420367
